Site Timezone,5.5,Elevation,405,Is Offshore,0,WRF Region,1,,,,
Longitude,76.921875,,,,,,,,,,
Latitude,20.42926025,,,,,,,,,,
Year,Month,Day,Hour,Minute,temperature at 100m (C),wind direction at 100m (deg),wind speed at 100m (m/s),air pressure at 100m (Pa),wind speed at 80m (m/s),temperature at 80m (C),wind direction at 80m (deg)
2014,1,10,13,30,27.06,224.57,6.13,95770,6.06,27.3,224.59
2014,1,10,14,30,27.44,226.06,5.81,95710,5.74,27.67,226.01
2014,1,10,15,30,27.54,224.99,6.03,95650,5.95,27.75,224.95
2014,1,10,16,30,27.48,222.35,6.1,95620,5.95,27.67,222.17
2014,1,10,17,30,27.18,213.87,5.87,95620,5.66,27.27,212.63
2014,1,10,18,30,26.67,214.9,6.55,95640,6.34,26.61,213.36
2014,1,10,19,30,25.9,233.97,5.55,95660,5.4,25.68,230.46
2014,1,10,20,30,24.33,270.92,5.9,95720,5.66,24.41,263.28
2014,1,10,21,30,23.29,289.28,4.09,95750,3.78,23.31,278.14
2014,1,10,22,30,21.87,290.35,6.13,95790,5.6,21.89,284.37
2014,1,10,23,30,20.08,292.09,9.87,95820,8.71,19.99,289.66
2014,1,11,0,30,18.81,300.46,9.8,95870,8.85,18.67,298.39
2014,1,11,1,30,18.03,298,8.79,95880,7.96,17.8,294.39
2014,1,11,2,30,17.64,298.15,8.7,95830,7.95,17.4,293.62
2014,1,11,3,30,17.26,301.57,8.44,95810,7.74,17,296.85
2014,1,11,4,30,16.75,300,8.39,95800,7.73,16.46,294.6
2014,1,11,5,30,16.4,296.79,8.5,95750,8.17,16.11,290.95
2014,1,11,6,30,16.01,297.2,7.84,95780,7.52,15.72,291.19
2014,1,11,7,30,15.88,293.68,6.8,95830,6.48,15.55,286.6
2014,1,11,8,30,16.07,285.88,4.28,95960,3.5,16.24,278
2014,1,11,9,30,18.35,303.14,3.18,96010,3.15,18.58,302.91
2014,1,11,10,30,20.25,318.48,2.83,96000,2.8,20.49,318.53
2014,1,11,11,30,20.29,314.38,4.44,96080,4.4,20.53,314.38
2014,1,11,12,30,21.51,317.19,3.6,96030,3.58,21.75,317.26
2014,1,11,13,30,22.53,307.59,2.96,95990,2.95,22.77,307.78
2014,1,11,14,30,23.09,291.3,3.05,95930,3.03,23.32,291.46
2014,1,11,15,30,23.25,286.29,3.2,95890,3.18,23.47,286.46
2014,1,11,16,30,23.08,303.64,3.27,95870,3.25,23.27,303.73
2014,1,11,17,30,22.74,333.92,5.39,95870,5.41,22.91,333.76
2014,1,11,18,30,22.34,334.04,6.6,95910,6.48,22.4,333.43
2014,1,11,19,30,21.06,340.58,7.2,95930,6.61,20.98,335.42
2014,1,11,20,30,19.52,351.26,6.1,95980,4.99,19.24,346.21
2014,1,11,21,30,18.48,2.11,6.42,95980,5.23,18.24,358.63
2014,1,11,22,30,17.29,12.53,4.28,96000,3.27,17.09,8.48
2014,1,11,23,30,17.16,63.01,3.51,96050,2.57,17.03,66.5
2014,1,12,0,30,17.29,55.87,3.44,96070,2.47,17.16,58.53
2014,1,12,1,30,16.71,75.73,3.93,96090,3.25,16.73,83.9
2014,1,12,2,30,15.84,68.9,5.42,96090,4.87,15.91,74.99
2014,1,12,3,30,14.86,71.39,7.26,96100,6.57,14.84,73.58
2014,1,12,4,30,15.03,86.9,7.28,96110,6.49,14.86,90.38
2014,1,12,5,30,15.88,94.97,9.93,96050,9.41,15.82,96.88
2014,1,12,6,30,15.65,94.57,9.67,96070,9.11,15.56,96.47
2014,1,12,7,30,15.31,92.73,8.68,96140,7.83,15.11,94.4
2014,1,12,8,30,16.1,92.16,5.92,96250,5.74,16.33,91.88
2014,1,12,9,30,18.04,90.49,6.39,96300,6.29,18.27,90.31
2014,1,12,10,30,19.75,91.59,6.39,96330,6.32,19.99,91.39
2014,1,12,11,30,21.03,85.87,5.03,96330,4.98,21.27,85.57
2014,1,12,12,30,22.73,98.89,4.44,96300,4.39,22.97,98.55
2014,1,12,13,30,24.05,113.87,3.5,96250,3.47,24.29,113.41
2014,1,12,14,30,24.86,99.74,1.99,96140,1.98,25.09,98.89
2014,1,12,15,30,25.21,101.47,1.45,96050,1.44,25.42,100.21
2014,1,12,16,30,25.27,79.22,1.69,96010,1.7,25.47,77.91
2014,1,12,17,30,24.84,51.43,4.56,96010,4.61,24.99,50.59
2014,1,12,18,30,24.08,55.85,5.98,96040,5.81,24.08,56.16
2014,1,12,19,30,23.27,73.42,6.91,96070,6.52,23.12,76.18
2014,1,12,20,30,22.96,88.55,7.72,96100,7.42,22.9,91.01
2014,1,12,21,30,22.7,96.29,8.64,96090,8.32,22.6,99.84
2014,1,12,22,30,22.41,98.4,9.06,96100,8.68,22.26,102.13
2014,1,12,23,30,22,97.08,9.23,96100,8.69,21.8,100.37
2014,1,13,0,30,21.66,100.42,9.26,96100,8.74,21.42,104.14
2014,1,13,1,30,20.46,104.44,7.3,96110,6.39,19.99,107.91
2014,1,13,2,30,18.4,102.86,5.29,96090,4.17,17.83,102.25
2014,1,13,3,30,17.49,92.25,5.56,96090,4.6,17.05,90.26
2014,1,13,4,30,18.24,110.76,6.36,96020,5.58,17.96,114.14
2014,1,13,5,30,17.99,104.59,7.22,96070,6.4,17.74,106.01
2014,1,13,6,30,17.27,106.83,7.53,96070,6.53,16.87,107
2014,1,13,7,30,16.24,110.65,6.98,96120,5.7,15.76,111.32
2014,1,13,8,30,17.34,96.71,3.17,96240,3.02,17.56,95.27
2014,1,13,9,30,20.04,97.75,4.77,96280,4.69,20.27,97.35
2014,1,13,10,30,22.27,111.22,4.69,96270,4.64,22.5,110.87
2014,1,13,11,30,24.11,103.65,3.92,96170,3.88,24.35,103.27
